region,technique,target,function,exploit,Attack 0,Attack 1,Attack 2
stack,BoundOFlow,retaddr,read,ret2shellcode,attacked,attacked,attacked,
stack,BoundOFlow,retaddr,read,ret2libc,attacked,attacked,attacked,
stack,BoundOFlow,retaddr,read,ret2text,attacked,attacked,attacked,
stack,BoundOFlow,retaddr,read,ROP,attacked,attacked,attacked,
stack,BoundOFlow,retaddr,read,SROP,attacked,attacked,attacked,
stack,BoundOFlow,retaddr,memcpy,ret2shellcode,attacked,attacked,attacked,
stack,BoundOFlow,retaddr,memcpy,ret2libc,attacked,attacked,attacked,
stack,BoundOFlow,retaddr,memcpy,ret2text,attacked,attacked,attacked,
stack,BoundOFlow,retaddr,memcpy,ROP,attacked,attacked,attacked,
stack,BoundOFlow,retaddr,memcpy,SROP,attacked,attacked,attacked,
stack,BoundOFlow,retaddr,bcopy,ret2shellcode,attacked,attacked,attacked,
stack,BoundOFlow,retaddr,bcopy,ret2libc,attacked,attacked,attacked,
stack,BoundOFlow,retaddr,bcopy,ret2text,attacked,attacked,attacked,
stack,BoundOFlow,retaddr,bcopy,ROP,attacked,attacked,attacked,
stack,BoundOFlow,retaddr,bcopy,SROP,attacked,attacked,attacked,
stack,BoundOFlow,retaddr,homebrew,ret2shellcode,attacked,attacked,attacked,
stack,BoundOFlow,retaddr,homebrew,ret2libc,attacked,attacked,attacked,
stack,BoundOFlow,retaddr,homebrew,ret2text,attacked,attacked,attacked,
stack,BoundOFlow,retaddr,homebrew,ROP,attacked,attacked,attacked,
stack,BoundOFlow,retaddr,homebrew,SROP,attacked,attacked,attacked,
stack,BoundOFlow,oldebp,read,ret2shellcode,attacked,attacked,attacked,
stack,BoundOFlow,oldebp,read,ret2libc,attacked,attacked,attacked,
stack,BoundOFlow,oldebp,read,ret2text,attacked,attacked,attacked,
stack,BoundOFlow,oldebp,read,ROP,attacked,attacked,attacked,
stack,BoundOFlow,oldebp,memcpy,ret2shellcode,attacked,attacked,attacked,
stack,BoundOFlow,oldebp,memcpy,ret2libc,attacked,attacked,attacked,
stack,BoundOFlow,oldebp,memcpy,ret2text,attacked,attacked,attacked,
stack,BoundOFlow,oldebp,memcpy,ROP,attacked,attacked,attacked,
stack,BoundOFlow,oldebp,bcopy,ret2shellcode,attacked,attacked,attacked,
stack,BoundOFlow,oldebp,bcopy,ret2libc,attacked,attacked,attacked,
stack,BoundOFlow,oldebp,bcopy,ret2text,attacked,attacked,attacked,
stack,BoundOFlow,oldebp,bcopy,ROP,attacked,attacked,attacked,
stack,BoundOFlow,oldebp,homebrew,ret2shellcode,attacked,attacked,attacked,
stack,BoundOFlow,oldebp,homebrew,ret2libc,attacked,attacked,attacked,
stack,BoundOFlow,oldebp,homebrew,ret2text,attacked,attacked,attacked,
stack,BoundOFlow,oldebp,homebrew,ROP,attacked,attacked,attacked,
stack,BoundOFlow,funcptr,read,ret2text,exploited
stack,BoundOFlow,funcptr,memcpy,ret2text,exploited
stack,BoundOFlow,funcptr,bcopy,ret2text,exploited
stack,BoundOFlow,funcptr,homebrew,ret2text,exploited
heap,BoundOFlow,funcptr,read,ret2text,exploited
heap,BoundOFlow,funcptr,memcpy,ret2text,exploited
heap,BoundOFlow,funcptr,bcopy,ret2text,exploited
heap,BoundOFlow,funcptr,homebrew,ret2text,exploited
data,BoundOFlow,funcptr,read,ret2text,exploited
data,BoundOFlow,funcptr,memcpy,ret2text,exploited
data,BoundOFlow,funcptr,bcopy,ret2text,exploited
data,BoundOFlow,funcptr,homebrew,ret2text,exploited
bss,BoundOFlow,funcptr,read,ret2text,exploited
bss,BoundOFlow,funcptr,memcpy,ret2text,exploited
bss,BoundOFlow,funcptr,bcopy,ret2text,exploited
bss,BoundOFlow,funcptr,homebrew,ret2text,exploited
stack,NBoundOFlow,retaddr,read,ret2text,attacked,attacked,attacked,
stack,NBoundOFlow,retaddr,memcpy,ret2text,attacked,attacked,attacked,
stack,NBoundOFlow,retaddr,bcopy,ret2text,attacked,attacked,attacked,
stack,NBoundOFlow,retaddr,homebrew,ret2text,attacked,attacked,attacked,
stack,NBoundOFlow,funcptr,read,ret2text,exploited
stack,NBoundOFlow,funcptr,memcpy,ret2text,exploited
stack,NBoundOFlow,funcptr,bcopy,ret2text,exploited
stack,NBoundOFlow,funcptr,homebrew,ret2text,exploited
stack,NBoundOFlow,jmpbuf,read,ret2text,exploited
stack,NBoundOFlow,jmpbuf,memcpy,ret2text,exploited
stack,NBoundOFlow,jmpbuf,bcopy,ret2text,exploited
stack,NBoundOFlow,jmpbuf,homebrew,ret2text,exploited
heap,NBoundOFlow,funcptr,read,ret2text,exploited
heap,NBoundOFlow,funcptr,memcpy,ret2text,exploited
heap,NBoundOFlow,funcptr,bcopy,ret2text,exploited
heap,NBoundOFlow,funcptr,homebrew,ret2text,exploited
data,NBoundOFlow,funcptr,read,ret2text,exploited
data,NBoundOFlow,funcptr,memcpy,ret2text,exploited
data,NBoundOFlow,funcptr,bcopy,ret2text,exploited
data,NBoundOFlow,funcptr,homebrew,ret2text,exploited
bss,NBoundOFlow,funcptr,read,ret2text,exploited
bss,NBoundOFlow,funcptr,memcpy,ret2text,exploited
bss,NBoundOFlow,funcptr,bcopy,ret2text,exploited
bss,NBoundOFlow,funcptr,homebrew,ret2text,exploited
stack,OOBPtrHijack,retaddr,read,ret2text,attacked,attacked,attacked,
stack,OOBPtrHijack,retaddr,memcpy,ret2text,attacked,attacked,attacked,
stack,OOBPtrHijack,retaddr,bcopy,ret2text,attacked,attacked,attacked,
stack,OOBPtrHijack,retaddr,homebrew,ret2text,attacked,attacked,attacked,
stack,OOBPtrHijack,funcptr,read,ret2text,exploited
stack,OOBPtrHijack,funcptr,memcpy,ret2text,exploited
stack,OOBPtrHijack,funcptr,bcopy,ret2text,exploited
stack,OOBPtrHijack,funcptr,homebrew,ret2text,exploited
stack,OOBPtrHijack,GOT,read,ret2text,exploited
stack,OOBPtrHijack,GOT,memcpy,ret2text,exploited
stack,OOBPtrHijack,GOT,bcopy,ret2text,exploited
stack,OOBPtrHijack,GOT,homebrew,ret2text,exploited
stack,OOBPtrHijack,jmpbuf,read,ret2text,exploited
stack,OOBPtrHijack,jmpbuf,memcpy,ret2text,exploited
stack,OOBPtrHijack,jmpbuf,bcopy,ret2text,exploited
stack,OOBPtrHijack,jmpbuf,homebrew,ret2text,exploited
heap,OOBPtrHijack,funcptr,read,ret2text,exploited
heap,OOBPtrHijack,funcptr,memcpy,ret2text,exploited
heap,OOBPtrHijack,funcptr,bcopy,ret2text,exploited
heap,OOBPtrHijack,funcptr,homebrew,ret2text,exploited
heap,OOBPtrHijack,GOT,read,ret2text,exploited
heap,OOBPtrHijack,GOT,memcpy,ret2text,exploited
heap,OOBPtrHijack,GOT,bcopy,ret2text,exploited
heap,OOBPtrHijack,GOT,homebrew,ret2text,exploited
data,OOBPtrHijack,funcptr,read,ret2text,exploited
data,OOBPtrHijack,funcptr,memcpy,ret2text,exploited
data,OOBPtrHijack,funcptr,bcopy,ret2text,exploited
data,OOBPtrHijack,funcptr,homebrew,ret2text,exploited
data,OOBPtrHijack,GOT,read,ret2text,exploited
data,OOBPtrHijack,GOT,memcpy,ret2text,exploited
data,OOBPtrHijack,GOT,bcopy,ret2text,exploited
data,OOBPtrHijack,GOT,homebrew,ret2text,exploited
bss,OOBPtrHijack,funcptr,read,ret2text,exploited
bss,OOBPtrHijack,funcptr,memcpy,ret2text,exploited
bss,OOBPtrHijack,funcptr,bcopy,ret2text,exploited
bss,OOBPtrHijack,funcptr,homebrew,ret2text,exploited
bss,OOBPtrHijack,GOT,read,ret2text,exploited
bss,OOBPtrHijack,GOT,memcpy,ret2text,exploited
bss,OOBPtrHijack,GOT,bcopy,ret2text,exploited
bss,OOBPtrHijack,GOT,homebrew,ret2text,exploited
stack,PtrHijack,retaddr,read,ret2text,attacked,attacked,attacked,
stack,PtrHijack,retaddr,memcpy,ret2text,attacked,attacked,attacked,
stack,PtrHijack,retaddr,bcopy,ret2text,attacked,attacked,attacked,
stack,PtrHijack,retaddr,homebrew,ret2text,attacked,attacked,attacked,
stack,PtrHijack,funcptr,read,ret2text,exploited
stack,PtrHijack,funcptr,memcpy,ret2text,exploited
stack,PtrHijack,funcptr,bcopy,ret2text,exploited
stack,PtrHijack,funcptr,homebrew,ret2text,exploited
stack,PtrHijack,GOT,read,ret2text,exploited
stack,PtrHijack,GOT,memcpy,ret2text,exploited
stack,PtrHijack,GOT,bcopy,ret2text,exploited
stack,PtrHijack,GOT,homebrew,ret2text,exploited
stack,PtrHijack,jmpbuf,read,ret2text,exploited
stack,PtrHijack,jmpbuf,memcpy,ret2text,exploited
stack,PtrHijack,jmpbuf,bcopy,ret2text,exploited
stack,PtrHijack,jmpbuf,homebrew,ret2text,exploited
stack,StructOFlow,funcptr,read,ret2text,exploited
stack,StructOFlow,funcptr,memcpy,ret2text,exploited
stack,StructOFlow,funcptr,bcopy,ret2text,exploited
stack,StructOFlow,funcptr,homebrew,ret2text,exploited
heap,StructOFlow,funcptr,read,ret2text,exploited
heap,StructOFlow,funcptr,memcpy,ret2text,exploited
heap,StructOFlow,funcptr,bcopy,ret2text,exploited
heap,StructOFlow,funcptr,homebrew,ret2text,exploited
data,StructOFlow,funcptr,read,ret2text,exploited
data,StructOFlow,funcptr,memcpy,ret2text,exploited
data,StructOFlow,funcptr,bcopy,ret2text,exploited
